Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","22134","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","ha","26255","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01341","Apples","2020","2020","ha","25643","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01343","Apricots","2020","2020","ha","17481","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2020","2020","ha","86099","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01229","Cantaloupes and other melons","2020","2020","ha","58942","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01315","Figs","2020","2020","ha","3219","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","2020","2020","ha","92584","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01441","Linseed","2020","2020","ha","31089","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","140498","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0118","Millet","2020","2020","ha","1437","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01450","Olives","2020","2020","ha","2130","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","ha","19351","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01323","Oranges","2020","2020","ha","415","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2020","2020","ha","6396","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2020","2020","ha","449","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01359.90","Other fruits, n.e.c.","2020","2020","ha","8167","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2020","2020","ha","5043","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01709.90","Other pulses n.e.c.","2020","2020","ha","69104","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2020","2020","ha","2243","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01349.20","Other stone fruits","2020","2020","ha","6946","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2020","2020","ha","167698","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01345","Peaches and nectarines","2020","2020","ha","6735","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01342.01","Pears","2020","2020","ha","2245","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01375","Pistachios, in shell","2020","2020","ha","2172","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01346","Plums and sloes","2020","2020","ha","3128","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01510","Potatoes","2020","2020","ha","53674","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0113","Rice","2020","2020","ha","147555","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01921.01","Seed cotton, unginned","2020","2020","ha","56740","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01444","Sesame seed","2020","2020","ha","64862","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01801","Sugar beet","2020","2020","ha","347","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01802","Sugar cane","2020","2020","ha","1541","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01445","Sunflower seed","2020","2020","ha","362","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01376","Walnuts, in shell","2020","2020","ha","5206","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01221","Watermelons","2020","2020","ha","66244","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2020","2020","ha","2668000","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01341","Apples","2020","2020","ha","4420","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01343","Apricots","2020","2020","ha","344","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2020","2020","ha","3771","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01701","Beans, dry","2020","2020","ha","13346","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01702","Broad beans and horse beans, dry","2020","2020","ha","171","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01243","Broad beans and horse beans, green","2020","2020","ha","22","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01212","Cabbages","2020","2020","ha","1813","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01229","Cantaloupes and other melons","2020","2020","ha","1722","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01251","Carrots and turnips","2020","2020","ha","415","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01213","Cauliflowers and broccoli","2020","2020","ha","332","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01344.02","Cherries","2020","2020","ha","2237","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01373","Chestnuts, in shell","2020","2020","ha","2407","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","ha","3367","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01232","Cucumbers and gherkins","2020","2020","ha","2499","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01314","Dates","2020","2020","ha","487","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01233","Eggplants (aubergines)","2020","2020","ha","1225","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01315","Figs","2020","2020","ha","1504","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01330","Grapes","2020","2020","ha","10455","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01252","Green garlic","2020","2020","ha","1259","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01659","Hop cones","2020","2020","ha","2358","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01254","Leeks and other alliaceous vegetables","2020","2020","ha","1484","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01322","Lemons and limes","2020","2020","ha","645","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01214","Lettuce and chicory","2020","2020","ha","1625","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","56727","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0117","Oats","2020","2020","ha","15545","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01239.01","Okra","2020","2020","ha","713","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01450","Olives","2020","2020","ha","48102","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","ha","5179","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01253.01","Onions and shallots, green","2020","2020","ha","2284","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01323","Oranges","2020","2020","ha","239","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01241.90","Other beans, green","2020","2020","ha","970","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2020","2020","ha","1","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01359.90","Other fruits, n.e.c.","2020","2020","ha","125","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2020","2020","ha","1015","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01709.90","Other pulses n.e.c.","2020","2020","ha","1140","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2020","2020","ha","405","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01349.20","Other stone fruits","2020","2020","ha","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2020","2020","ha","1650","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01345","Peaches and nectarines","2020","2020","ha","1267","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01342.01","Pears","2020","2020","ha","776","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01242","Peas, green","2020","2020","ha","485","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01346","Plums and sloes","2020","2020","ha","2644","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01510","Potatoes","2020","2020","ha","9701","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01235","Pumpkins, squash and gourds","2020","2020","ha","754","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01342.02","Quinces","2020","2020","ha","89","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0113","Rice","2020","2020","ha","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0116","Rye","2020","2020","ha","1321","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01921.01","Seed cotton, unginned","2020","2020","ha","616","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0114","Sorghum","2020","2020","ha","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01344.01","Sour cherries","2020","2020","ha","3100","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0141","Soya beans","2020","2020","ha","171","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01215","Spinach","2020","2020","ha","1683","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01354","Strawberries","2020","2020","ha","121","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01801","Sugar beet","2020","2020","ha","837","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01445","Sunflower seed","2020","2020","ha","542","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01324","Tangerines, mandarins, clementines","2020","2020","ha","1024","A","Official figure"
