Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1371,"Almonds, in shell",2023,2023,ha,37000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,ha,25439,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1341,Apples,2023,2023,ha,31000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1343,Apricots,2023,2023,ha,25374,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,115,Barley,2023,2023,ha,65795,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1701,"Beans, dry",2023,2023,ha,26541,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1229,Cantaloupes and other melons,2023,2023,ha,64944,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1315,Figs,2023,2023,ha,9833,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1330,Grapes,2023,2023,ha,93000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1441,Linseed,2023,2023,ha,35000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),2023,2023,ha,127000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,118,Millet,2023,2023,ha,1271,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1442,Mustard seed,2023,2023,ha,1000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1450,Olives,2023,2023,ha,2181,E,Estimated value,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,2023,ha,34000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1323,Oranges,2023,2023,ha,1316,A,Official figure,
